FID,OBJECTID,id,previousId,eventDate,year_,month_,day_,country,countryCod,stateProvi,county,locality,verbatimLo,decimalLat,decimalLon,geodeticDa,scientific_name,kingdom,phylum,class,order_,family,genus,specificEp,taxonRank,scientif_1,vernacular
867,37808,URN:catalog:CLO:EBIRD_CAMERICA:OBS828147552,Ara militaris,2019-11-15,2019,11,15,Colombia,CO,La Guajira,Albania,"(11.1670,-72.5445) Arroyo Bruno 75-100 m","CO | La Guajira | (11.1670,-72.5445) Arroyo Bruno 75-100 m",11.167,-72.5445,WGS84,Ara militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Especie,"(Linnaeus, 1766)",Military Macaw
868,37831,URN:catalog:CLO:EBIRD:OBS302345966,Ara militaris,2015-03-10,2015,3,10,Colombia,CO,Cesar,Valledupar,Ecoparque Los Besotes--Campamento Base,CO | Cesar | Ecoparque Los Besotes--Campamento Base,10.5734,-73.248,WGS84,Ara militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Especie,"(Linnaeus, 1766)",Military Macaw
871,37904,URN:catalog:CLO:EBIRD:OBS306721270,Ara militaris,2015-03-30,2015,3,30,Colombia,CO,Cesar,Valledupar,Ecoparque Los Besotes--Campamento Base,CO | Cesar | Ecoparque Los Besotes--Campamento Base,10.5734,-73.248,WGS84,Ara militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Especie,"(Linnaeus, 1766)",Military Macaw
877,38007,URN:catalog:CLO:EBIRD:OBS464965567,Ara militaris,2017-02-08,2017,2,8,Colombia,CO,Cesar,Manaure Balcón del Cesar,RN Los Tananeos,CO | Cesar | RN Los Tananeos,10.3878,-73.0561,WGS84,Ara militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Especie,"(Linnaeus, 1766)",Military Macaw
881,38186,URN:catalog:CLO:EBIRD:OBS820034076,Ara militaris,2019-10-19,2019,10,19,Colombia,CO,Cesar,Manaure Balcón del Cesar,Chilapacha,CO | Cesar | Chilapacha,10.3973,-73.0456,WGS84,Ara militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Especie,"(Linnaeus, 1766)",Military Macaw
886,38587,URN:catalog:CLO:EBIRD:OBS728285039,Ara militaris,2019-03-21,2019,3,21,Colombia,CO,Cesar,Manaure Balcón del Cesar,Vereda Canadá,CO | Cesar | Vereda Canadá,10.3718,-73.0073,WGS84,Ara militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Especie,"(Linnaeus, 1766)",Military Macaw
906,39341,URN:catalog:CLO:EBIRD:OBS829584467,Ara militaris,2019-11-18,2019,11,18,Colombia,CO,Cesar,Manaure Balcón del Cesar,RN Los Tananeos,CO | Cesar | RN Los Tananeos,10.3878,-73.0561,WGS84,Ara militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Especie,"(Linnaeus, 1766)",Military Macaw
909,39427,URN:catalog:CLO:EBIRD:OBS783856556,Ara militaris,2019-07-09,2019,7,9,Colombia,CO,Cesar,Valledupar,Ecoparque Los Besotes--Zona Baja,CO | Cesar | Ecoparque Los Besotes--Zona Baja,10.553,-73.2362,WGS84,Ara militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Especie,"(Linnaeus, 1766)",Military Macaw
915,39531,URN:catalog:CLO:EBIRD:OBS743818152,Ara militaris,2019-04-20,2019,4,20,Colombia,CO,Cesar,Manaure Balcón del Cesar,Vereda Canadá,CO | Cesar | Vereda Canadá,10.3718,-73.0073,WGS84,Ara militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Especie,"(Linnaeus, 1766)",Military Macaw
920,39844,URN:catalog:CLO:EBIRD:OBS670803163,Ara militaris,2018-10-27,2018,10,27,Colombia,CO,Cesar,Manaure Balcón del Cesar,"Cesar, CO (10.368, -72.989)","CO | Cesar | Cesar, CO (10.368, -72.989)",10.3679,-72.9894,WGS84,Ara militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Especie,"(Linnaeus, 1766)",Military Macaw
921,39850,URN:catalog:CLO:EBIRD_COL:OBS685331203,Ara militaris,2018-12-08,2018,12,8,Colombia,CO,Cesar,Valledupar,"Ecoparque Los Besotes - (10.567, -73.253)","CO | Cesar | Ecoparque Los Besotes - (10.567, -73.253)",10.567,-73.2528,WGS84,Ara militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Especie,"(Linnaeus, 1766)",Military Macaw
